antecedent,consequent,support,confidence,lift
"frozen vegetables, soup","milk, mineral water",0.0030662578322890282,0.3833333333333333,7.987175925925926
"frozen vegetables, olive oil","milk, mineral water",0.003332888948140248,0.29411764705882354,6.12826797385621
"mineral water, whole wheat pasta",olive oil,0.0038661511798426876,0.4027777777777778,6.115862573099416
"milk, soup","frozen vegetables, mineral water",0.0030662578322890282,0.20175438596491227,5.646864362398533
tomato sauce,"ground beef, spaghetti",0.0030662578322890282,0.2169811320754717,5.535970992170453
"frozen vegetables, milk, mineral water",soup,0.0030662578322890282,0.27710843373493976,5.484407286136631
fromage blanc,honey,0.003332888948140248,0.2450980392156863,5.164270764485569
"spaghetti, tomato sauce",ground beef,0.0030662578322890282,0.4893617021276596,4.980599901844742
light cream,chicken,0.004532728969470737,0.29059829059829057,4.84395061728395
pasta,escalope,0.005865884548726837,0.3728813559322034,4.700811850163794
